iter	MultiClass
0	1.062041673
1	1.023652934
2	0.9894075614
3	0.9610070909
4	0.9314501357
5	0.9030579546
6	0.8776012519
7	0.8545943388
8	0.8327269164
9	0.8102634751
10	0.7870253628
11	0.7662572068
12	0.749983708
13	0.735133333
14	0.7175227009
15	0.7059400178
16	0.6921319918
17	0.6771606704
18	0.6639434933
19	0.6508142469
20	0.6433952859
21	0.6323993127
22	0.6228645812
23	0.6091090966
24	0.5970261458
25	0.5869356314
26	0.5769112558
27	0.57014187
28	0.5602769157
29	0.5534267545
30	0.5455468894
31	0.5372718668
32	0.5292346489
33	0.5226337881
34	0.514367865
35	0.5059737969
36	0.4994156886
37	0.4940328098
38	0.487440575
39	0.4817938415
40	0.4760194949
41	0.46905835
42	0.4618282309
43	0.4555323243
44	0.4503204595
45	0.4453574291
46	0.4430229822
47	0.4388337861
48	0.4338796931
49	0.4303934073
50	0.4256711993
51	0.4208137251
52	0.4163894662
53	0.4125499099
54	0.4090208549
55	0.4057117344
56	0.4028377318
57	0.3988364012
58	0.393827158
59	0.3903973688
60	0.3863383604
61	0.3821164712
62	0.3791049597
63	0.3753850555
64	0.3730697969
65	0.3710410808
66	0.3684200053
67	0.3646597768
68	0.3620708485
69	0.3590728105
70	0.3553583793
71	0.3532759264
72	0.3506363787
73	0.3484465727
74	0.3457477305
75	0.343998461
76	0.3406485889
77	0.3386493488
78	0.3356380451
79	0.33301201
80	0.3307452006
81	0.328306792
82	0.326989307
83	0.324342931
84	0.3226156669
85	0.3203660028
86	0.3181434218
87	0.3163354885
88	0.3134980284
89	0.3111133129
90	0.3076645436
91	0.3049672297
92	0.3028188477
93	0.3017081686
94	0.2990255822
95	0.2966609055
96	0.2939266273
97	0.2910407172
98	0.2890938689
99	0.2871945598
100	0.2850140941
101	0.2821993575
102	0.2792454611
103	0.277348369
104	0.27519433
105	0.2739036761
106	0.2726019141
107	0.2709551467
108	0.2695655594
109	0.2677321767
110	0.2663962339
111	0.2647354151
112	0.2622780454
113	0.2600325372
114	0.2586656049
115	0.2566761574
116	0.2541987646
117	0.251597886
118	0.2491165742
119	0.2473625139
120	0.2466829965
121	0.2451555914
122	0.2421406493
123	0.2401038491
124	0.2383005126
125	0.2361773851
126	0.2343818668
127	0.233636037
128	0.231474546
129	0.2294039745
130	0.2273852904
131	0.225379529
132	0.2235008082
133	0.2226638513
134	0.2213246129
135	0.2204861199
136	0.219718211
137	0.2181833247
138	0.2161925131
139	0.214534867
140	0.2125223885
141	0.2107447703
142	0.2093210752
143	0.2081206189
144	0.2073444646
145	0.2062339034
146	0.2051527766
147	0.2042600314
148	0.2033491259
149	0.2020966846
150	0.2004951482
151	0.1988888548
152	0.1972312461
153	0.1964074617
154	0.193882073
155	0.1929651936
156	0.191502639
157	0.1894578847
158	0.1890433596
159	0.187917461
160	0.1868160363
161	0.1854727638
162	0.1842837075
163	0.1822995142
164	0.1807754727
165	0.1795701304
166	0.178809279
167	0.1782458367
168	0.1772178666
169	0.1763671639
170	0.1759054222
171	0.174630737
172	0.1732350485
173	0.1723156594
174	0.1715753623
175	0.1708173994
176	0.170274445
177	0.16942246
178	0.1681449717
179	0.1671941312
180	0.1664951571
181	0.1654728275
182	0.1650995921
183	0.1645128872
184	0.1633817532
185	0.1623672186
186	0.1622123231
187	0.160874245
188	0.1600638121
189	0.1595389882
190	0.1584142405
191	0.1579112492
192	0.1573314696
193	0.1559534755
194	0.1551613955
195	0.1543136875
196	0.1532388849
197	0.1524640477
198	0.1519257951
199	0.1510824661
200	0.1499810933
201	0.1492697124
202	0.1484561387
203	0.1475791724
204	0.1465390251
205	0.1457594735
206	0.145277061
207	0.1445595474
208	0.1439611943
209	0.1437586003
210	0.1432124457
211	0.1428133035
212	0.1417438884
213	0.1413728991
214	0.1407094776
215	0.1401169544
216	0.1397591559
217	0.1391611816
218	0.1386135554
219	0.1379934681
220	0.137394074
221	0.1370199248
222	0.1359645038
223	0.1355837349
224	0.1350733515
225	0.134422253
226	0.1336957124
227	0.1327330015
228	0.1322000663
229	0.1311634729
230	0.1301486316
231	0.1293987523
232	0.1285119446
233	0.1280480718
234	0.1273974852
235	0.1270432978
236	0.1265662394
237	0.126288056
238	0.1256652541
239	0.1252908755
240	0.1248299179
241	0.1244532235
242	0.1239749705
243	0.123497383
244	0.1225669554
245	0.1220248679
246	0.121634879
247	0.1211112687
248	0.1206466577
249	0.1203235049
250	0.1201041539
251	0.1196332912
252	0.1192991301
253	0.1190410591
254	0.1183360287
255	0.1177699004
256	0.1169910102
257	0.1164606397
258	0.1160661172
259	0.115491295
260	0.1149257374
261	0.1142407997
262	0.1135653259
263	0.1133637536
264	0.1129687953
265	0.1124184668
266	0.1117689853
267	0.1115235295
268	0.1111587126
269	0.1108718603
270	0.1104764656
271	0.1102249409
272	0.1096202154
273	0.1091256494
274	0.1087298969
275	0.1082117408
276	0.1080122459
277	0.1076638822
278	0.10719099
279	0.1069907264
280	0.1064716126
