iter	Passed	Remaining
0	16	15992
1	30	15235
2	44	14864
3	59	14854
4	73	14644
5	88	14659
6	103	14645
7	120	14967
8	135	14973
9	149	14773
10	162	14647
11	177	14633
12	192	14586
13	207	14599
14	221	14530
15	235	14489
16	250	14458
17	262	14336
18	275	14246
19	289	14180
20	302	14097
21	315	14009
22	329	13998
23	343	13976
24	357	13931
25	372	13938
26	387	13953
27	403	13999
28	418	14016
29	434	14045
30	453	14164
31	472	14293
32	487	14287
33	501	14234
34	514	14176
35	527	14113
36	540	14072
37	553	14020
38	565	13942
39	579	13914
40	592	13867
41	606	13835
42	619	13796
43	635	13808
44	647	13748
45	660	13698
46	673	13652
47	686	13625
48	701	13617
49	714	13575
50	727	13538
51	740	13504
52	753	13465
53	766	13433
54	779	13384
55	792	13355
56	804	13315
57	817	13273
58	830	13238
59	842	13206
60	855	13170
61	868	13132
62	886	13178
63	905	13237
64	923	13290
65	941	13326
66	958	13346
67	974	13352
68	989	13355
69	1004	13341
70	1017	13313
71	1030	13276
72	1042	13240
73	1055	13209
74	1068	13172
75	1081	13144
76	1093	13112
77	1106	13079
78	1118	13044
79	1131	13007
80	1147	13021
81	1160	12993
82	1173	12968
83	1187	12945
84	1200	12918
85	1213	12898
86	1226	12866
87	1238	12832
88	1251	12808
89	1264	12781
90	1276	12751
91	1289	12725
92	1302	12700
93	1315	12679
94	1328	12655
95	1342	12642
96	1354	12608
97	1366	12575
98	1378	12546
99	1392	12528
100	1406	12522
101	1420	12502
102	1432	12479
103	1450	12500
104	1465	12487
105	1478	12468
106	1491	12445
107	1504	12428
108	1517	12405
109	1531	12390
110	1544	12373
111	1558	12355
112	1571	12335
113	1585	12321
114	1598	12302
115	1611	12277
116	1623	12253
117	1636	12232
118	1653	12243
119	1666	12220
120	1678	12196
121	1692	12180
122	1705	12163
123	1718	12142
124	1731	12121
125	1743	12097
126	1756	12074
127	1768	12049
128	1781	12026
129	1793	12004
130	1806	11982
131	1818	11960
132	1831	11941
133	1844	11920
134	1857	11900
135	1869	11879
136	1883	11865
137	1895	11841
138	1912	11845
139	1925	11827
140	1937	11806
141	1952	11795
142	1964	11776
143	1980	11770
144	1992	11750
145	2006	11733
146	2018	11714
147	2031	11693
148	2044	11679
149	2058	11664
150	2071	11644
151	2083	11624
152	2097	11613
153	2111	11600
154	2124	11582
155	2137	11565
156	2151	11550
157	2167	11548
158	2180	11535
159	2195	11525
160	2209	11514
161	2225	11513
162	2242	11513
163	2261	11527
164	2276	11520
165	2289	11503
166	2302	11482
167	2315	11467
168	2328	11448
169	2340	11429
170	2353	11409
171	2366	11390
172	2379	11372
173	2391	11354
174	2404	11336
175	2420	11333
176	2433	11314
177	2446	11298
178	2459	11278
179	2471	11259
180	2484	11242
181	2497	11226
182	2510	11209
183	2524	11194
184	2538	11185
185	2551	11167
186	2566	11156
187	2579	11140
188	2591	11121
189	2604	11105
190	2617	11088
191	2630	11068
192	2643	11052
193	2655	11034
194	2671	11028
195	2686	11019
196	2701	11010
197	2714	10996
198	2728	10982
199	2741	10967
200	2754	10948
201	2767	10931
202	2780	10915
203	2793	10899
204	2806	10882
205	2818	10862
206	2830	10843
207	2843	10825
208	2856	10809
209	2869	10793
210	2881	10775
211	2894	10757
212	2907	10742
213	2921	10729
214	2936	10723
215	2949	10706
216	2962	10689
217	2975	10674
218	2988	10658
219	3001	10642
220	3015	10628
221	3028	10613
222	3042	10599
223	3056	10587
224	3068	10568
225	3081	10552
226	3094	10537
227	3107	10520
228	3120	10504
229	3132	10487
230	3145	10470
231	3157	10453
232	3170	10437
233	3186	10432
234	3200	10419
235	3213	10403
236	3226	10387
237	3239	10372
238	3252	10357
239	3266	10343
240	3279	10327
241	3293	10316
242	3307	10304
243	3321	10290
244	3333	10273
245	3346	10258
246	3359	10241
247	3372	10226
248	3385	10210
249	3398	10195
250	3410	10178
